Reihenfolge;ACG_Warengruppe;ACG_Unterwarengruppe
173;Käse/Käseersatzprodukte;Käsespezialitäten
174;Käse/Käseersatzprodukte;Käseersatzprodukte
175;Joghurts/Quark;Joghurt, Natur
176;Joghurts/Quark;Joghurt, Frucht
177;Joghurts/Quark;Joghurtersatzprodukte
178;Joghurts/Quark;Quark
179;Milch/Sahne/Butter;Milchgetränke
180;Milch/Sahne/Butter;Milch
181;Milch/Sahne/Butter;Sahne
182;Milch/Sahne/Butter;Butter/tierische Fette
183;Gekühlte Feinkost;Desserts
184;TK Fertiggerichte/Pizzas;Fertig-/Teilfertiggerichte
185;TK Fertiggerichte/Pizzas;Snacks/Kuchen
186;TK Fertiggerichte/Pizzas;Frühstück
187;TK Fleisch/Fisch;Fisch/Meeresfrüchte
188;TK Fertiggerichte/Pizzas;Pizza/Baguettes
189;TK Obst/Gemüse;Kartoffelprodukte
190;TK Obst/Gemüse;Gemüse
191;TK Obst/Gemüse;Obst
192;TK Desserts/Backwaren/Eis;Backwaren
193;TK Obst/Gemüse;Säfte
194;TK Desserts/Backwaren/Eis;Eis
195;TK Desserts/Backwaren/Eis;Desserts/Mehlspeisen
196;TK Fleisch/Fisch;Hühnchen
197;TK Fleisch/Fisch;Pute
198;TK Fleisch/Fisch;Schwein
199;TK Fleisch/Fisch;Rind
200;TK Fleisch/Fisch;Lamm
201;TK Fleisch/Fisch;Sonstige Fleischwaren
202;TK Fleisch/Fisch;Hackfleisch
203;TK Fleisch/Fisch;Wild
204;TK Fleisch/Fisch;Fleischersatzprodukte
205;Nährmittel;Kräuter/Gewürze/Würzzutaten
206;Wurst-/Fleisch-/Fischkonserven;Fischkonserven
207;Dauerwurst/Speck;Dauerwurst/Speck
208;Konfitüren/Brotaufstriche;Herzhafte Aufstriche
209;H-Milchprodukte/Milchersatzprodukte;H-Käse
210;Obst;Trockenfrüchte
211;Backartikel;Backzutaten
212;Backartikel;Backmischungen
213;Backartikel;Dessertpulver
214;Dressings/Öle/Soßen;Dressings/Marinaden
215;Fertiggerichte/Suppen;Trockensuppen/Fixprodukte/trockene Suppeneinlagen
216;Nährmittel;Teigwaren
217;Nährmittel;Vollwertkost
218;Nährmittel;Kartoffelprodukte
219;Nährmittel;Reis
220;Nährmittel;Hülsenfrüchte/Getreide
221;Dressings/Öle/Soßen;Ketchup/Senf
222;Dressings/Öle/Soßen;Soßen/Pesto
223;Dressings/Öle/Soßen;Mayonnaise
224;Dressings/Öle/Soßen;Meerrettich
225;H-Milchprodukte/Milchersatzprodukte;H-Milch
226;H-Milchprodukte/Milchersatzprodukte;H-Sahne
227;H-Milchprodukte/Milchersatzprodukte;Milchersatzprodukte
228;Eier;Rohe Eier
229;Eier;Gekochte Eier
230;Backartikel;Mehl
231;Backartikel;Zucker/Süßungsmittel
232;Dressings/Öle/Soßen;Speiseöle
233;Dressings/Öle/Soßen;Essig
234;Margarine/pflanzliche Fette ;Margarine/pflanzliche Fette
235;Konserven;Obstkonserven
236;Konserven;Gemüsekonserven
237;Konserven;Sauerkonserven
238;Konserven;Pilzkonserven
239;Konserven;Dessertkonserven
240;Konserven;Antipasti, ungekühlt
241;Fertiggerichte/Suppen;Fertiggerichte
242;Fertiggerichte/Suppen;Eintöpfe/Nasssuppen
243;Fertiggerichte/Suppen;Desserts
244;Fertiggerichte/Suppen;Instantgerichte
245;Wurst-/Fleisch-/Fischkonserven;Wurst-/Fleischkonserven
246;Babyartikel;Milchnahrung
247;Babyartikel;Beikost nass
248;Babyartikel;Beikost trocken
249;Babyartikel;Pflegeprodukte
250;Babyartikel;Accessoires
251;Babyartikel;Snacks/Getränke
252;Babyartikel;Windeln
253;Babyartikel;Babyausstattung
254;Wasch-/Putz-/Reinigungsmittel;Waschmittel
255;Wasch-/Putz-/Reinigungsmittel;Waschhilfsmittel
256;Wasch-/Putz-/Reinigungsmittel;Spülmittel
257;Wasch-/Putz-/Reinigungsmittel;Putzmittel
258;Wasch-/Putz-/Reinigungsmittel;Insektizide
259;Wasch-/Putz-/Reinigungsmittel;Lufterfrischer
260;Wasch-/Putz-/Reinigungsmittel;WC
261;Wasch-/Putz-/Reinigungsmittel;MGR (Maschinengeschirrreinigung)
262;Wasch-/Putz-/Reinigungsmittel;Autopflege
263;Folien/Tücher;Haushaltsfolien
264;Folien/Tücher;Tragetaschen
265;Folien/Tücher;Reinigungstücher/Schwämme/Handschuhe
266;Folien/Tücher;Reinigungssysteme
267;Tiernahrung;Hundenahrung
268;Tiernahrung;Katzennahrung
269;Tiernahrung;Vogelnahrung
270;Tiernahrung;Gekühlte Tiernahrung
271;Tiernahrung;Fischfutter
272;Tiernahrung;Nahrung für andere Tierarten
273;Tierbedarf;Katzenzubehör
274;Audio/Video/Batterien;Batterien/Akkus
275;Audio/Video/Batterien;Batteriezubehör
276;Papierwaren;Toilettenpapier
277;Papierwaren;Küchentücher
278;Papierwaren;Taschentücher/Kosmetiktücher
279;Papierwaren;Servietten/Geschirr
280;Körperhygiene;Waschen/Duschen/Baden
281;Körperhygiene;Deodorants
282;Körperhygiene;Zahn-/Mundhygiene
283;Körperhygiene;Rasur/Haarentfernung
284;Körperhygiene;Damenhygiene
285;Körperhygiene;Inkontinenzprodukte
286;Kosmetik/Körperpflege;Haarpflege/Accessoires
287;Kosmetik/Körperpflege;Hautpflege
288;Kosmetik/Körperpflege;Sonnenpflege
289;Kosmetik/Körperpflege;Herrenkosmetik
290;Kosmetik/Körperpflege;Dekorative Kosmetik
291;Kosmetik/Körperpflege;Nagel-/Kosmetik Accessoires
292;Apothekenprodukte;Topische Arzneimittel
293;Apothekenprodukte;Wundversorgung/Hausapotheke
294;Apothekenprodukte;Orale Arzneimittel
295;Apothekenprodukte;Nahrungsergänzungsmittel
296;Apothekenprodukte;Mobilität/Alltagshilfen
297;Apothekenprodukte;Sportnahrung
