merchant_reference;day;date;time_slot;capacity
1031;Saturday;;14:00-16:00;10
1031;Saturday;;16:00-18:00;10
1031;Saturday;;18:00-20:00;10
1031;Sunday;;10:00-12:00;0
1031;Sunday;;12:00-14:00;0
1031;Sunday;;14:00-16:00;0
1031;Sunday;;16:00-18:00;0
1031;Sunday;;18:00-20:00;0
1057;Monday;;10:00-12:00;3
1057;Monday;;12:00-14:00;3
1057;Monday;;14:00-16:00;3
1057;Monday;;16:00-18:00;3
1057;Monday;;18:00-20:00;3
1057;Tuesday;;10:00-12:00;3
1057;Tuesday;;12:00-14:00;3
1057;Tuesday;;14:00-16:00;3
1057;Tuesday;;16:00-18:00;3
1057;Tuesday;;18:00-20:00;3
1057;Wednesday;;10:00-12:00;3
1057;Wednesday;;12:00-14:00;3
1057;Wednesday;;14:00-16:00;3
1057;Wednesday;;16:00-18:00;3
1057;Wednesday;;18:00-20:00;3
1057;Thursday;;10:00-12:00;3
1057;Thursday;;12:00-14:00;3
1057;Thursday;;14:00-16:00;3
1057;Thursday;;16:00-18:00;3
1057;Thursday;;18:00-20:00;3
1057;Friday;;10:00-12:00;3
1057;Friday;;12:00-14:00;3
1057;Friday;;14:00-16:00;3
1057;Friday;;16:00-18:00;3
1057;Friday;;18:00-20:00;3
1057;Saturday;;10:00-12:00;3
1057;Saturday;;12:00-14:00;3
1057;Saturday;;14:00-16:00;3
1057;Saturday;;16:00-18:00;3
1057;Saturday;;18:00-20:00;3
1057;Sunday;;10:00-12:00;0
1057;Sunday;;12:00-14:00;0
1057;Sunday;;14:00-16:00;0
1057;Sunday;;16:00-18:00;0
1057;Sunday;;18:00-20:00;0
1042;Monday;;10:00-12:00;3
1042;Monday;;12:00-14:00;3
1042;Monday;;14:00-16:00;3
1042;Monday;;16:00-18:00;3
1042;Monday;;18:00-20:00;3
1042;Tuesday;;10:00-12:00;3
1042;Tuesday;;12:00-14:00;3
1042;Tuesday;;14:00-16:00;3
1042;Tuesday;;16:00-18:00;3
1042;Tuesday;;18:00-20:00;3
1042;Wednesday;;10:00-12:00;3
1042;Wednesday;;12:00-14:00;3
1042;Wednesday;;14:00-16:00;3
1042;Wednesday;;16:00-18:00;3
1042;Wednesday;;18:00-20:00;3
1042;Thursday;;10:00-12:00;3
1042;Thursday;;12:00-14:00;3
1042;Thursday;;14:00-16:00;3
1042;Thursday;;16:00-18:00;3
1042;Thursday;;18:00-20:00;3
1042;Friday;;10:00-12:00;3
1042;Friday;;12:00-14:00;3
1042;Friday;;14:00-16:00;3
1042;Friday;;16:00-18:00;3
1042;Friday;;18:00-20:00;3
1042;Saturday;;10:00-12:00;3
1042;Saturday;;12:00-14:00;3
1042;Saturday;;14:00-16:00;3
1042;Saturday;;16:00-18:00;3
1042;Saturday;;18:00-20:00;3
1042;Sunday;;10:00-12:00;0
1042;Sunday;;12:00-14:00;0
1042;Sunday;;14:00-16:00;0
1042;Sunday;;16:00-18:00;0
1042;Sunday;;18:00-20:00;0
1004;;2020-12-21;10:00-12:00;1
1004;;2020-12-21;12:00-14:00;1
1004;;2020-12-21;14:00-16:00;1
1004;;2020-12-21;16:00-18:00;4
1004;;2020-12-21;18:00-20:00;1
1004;;2020-12-22;10:00-12:00;3
1004;;2020-12-22;12:00-14:00;4
1004;;2020-12-22;14:00-16:00;0
1004;;2020-12-22;16:00-18:00;3
1004;;2020-12-22;18:00-20:00;3
1004;;2020-12-23;10:00-12:00;2
1004;;2020-12-23;12:00-14:00;1
1004;;2020-12-23;14:00-16:00;1
1004;;2020-12-23;16:00-18:00;1
1004;;2020-12-23;18:00-20:00;1
1004;;2020-12-24;10:00-12:00;0
1004;;2020-12-24;12:00-14:00;0
1004;;2020-12-24;14:00-16:00;0
1004;;2020-12-24;16:00-18:00;0
1004;;2020-12-24;18:00-20:00;0
1004;;2020-12-25;10:00-12:00;0
1004;;2020-12-25;12:00-14:00;0
1004;;2020-12-25;14:00-16:00;0
1004;;2020-12-25;16:00-18:00;0
1004;;2020-12-25;18:00-20:00;0
1004;;2020-12-26;10:00-12:00;0
1004;;2020-12-26;12:00-14:00;0
1004;;2020-12-26;14:00-16:00;0
1004;;2020-12-26;16:00-18:00;0
1004;;2020-12-26;18:00-20:00;0
1004;;2020-12-27;10:00-12:00;0
1004;;2020-12-27;12:00-14:00;0
1004;;2020-12-27;14:00-16:00;0
1004;;2020-12-27;16:00-18:00;0
1004;;2020-12-27;18:00-20:00;0
1004;;2020-12-31;10:00-12:00;0
1004;;2020-12-31;12:00-14:00;0
1004;;2020-12-31;14:00-16:00;0
1004;;2020-12-31;16:00-18:00;0
1004;;2020-12-31;18:00-20:00;0
1004;;2021-01-01;10:00-12:00;0
1004;;2021-01-01;12:00-14:00;0
1004;;2021-01-01;14:00-16:00;0
1004;;2021-01-01;16:00-18:00;0
1004;;2021-01-01;18:00-20:00;0
1031;;2020-12-21;10:00-12:00;10
1031;;2020-12-21;12:00-14:00;10
1031;;2020-12-21;14:00-16:00;10
1031;;2020-12-21;16:00-18:00;10
1031;;2020-12-21;18:00-20:00;10
1031;;2020-12-22;10:00-12:00;10
1031;;2020-12-22;12:00-14:00;10
1031;;2020-12-22;14:00-16:00;10
1031;;2020-12-22;16:00-18:00;10
1031;;2020-12-22;18:00-20:00;10
1031;;2020-12-23;10:00-12:00;10
1031;;2020-12-23;12:00-14:00;10
1031;;2020-12-23;14:00-16:00;10
1031;;2020-12-23;16:00-18:00;10
1031;;2020-12-23;18:00-20:00;10
1031;;2020-12-24;10:00-12:00;10
1031;;2020-12-24;12:00-14:00;0
1031;;2020-12-24;14:00-16:00;0
1031;;2020-12-24;16:00-18:00;0
1031;;2020-12-24;18:00-20:00;0
1031;;2020-12-25;10:00-12:00;0
1031;;2020-12-25;12:00-14:00;0
1031;;2020-12-25;14:00-16:00;0
1031;;2020-12-25;16:00-18:00;0
1031;;2020-12-25;18:00-20:00;0
1031;;2020-12-26;10:00-12:00;0
1031;;2020-12-26;12:00-14:00;0
1031;;2020-12-26;14:00-16:00;0
1031;;2020-12-26;16:00-18:00;0
1031;;2020-12-26;18:00-20:00;0
1031;;2020-12-27;10:00-12:00;0
1031;;2020-12-27;12:00-14:00;0
1031;;2020-12-27;14:00-16:00;0
1031;;2020-12-27;16:00-18:00;0
1031;;2020-12-27;18:00-20:00;0
1031;;2020-12-31;10:00-12:00;10
1031;;2020-12-31;12:00-14:00;10
1031;;2020-12-31;14:00-16:00;0
1031;;2020-12-31;16:00-18:00;0
1031;;2020-12-31;18:00-20:00;0
1031;;2021-01-01;10:00-12:00;0
1031;;2021-01-01;12:00-14:00;0
1031;;2021-01-01;14:00-16:00;0
1031;;2021-01-01;16:00-18:00;0
1031;;2021-01-01;18:00-20:00;0
1057;;2020-12-21;10:00-12:00;3
1057;;2020-12-21;12:00-14:00;3
1057;;2020-12-21;14:00-16:00;3
1057;;2020-12-21;16:00-18:00;3
1057;;2020-12-21;18:00-20:00;3
1057;;2020-12-22;10:00-12:00;3
1057;;2020-12-22;12:00-14:00;3
1057;;2020-12-22;14:00-16:00;3
1057;;2020-12-22;16:00-18:00;3
1057;;2020-12-22;18:00-20:00;3
1057;;2020-12-23;10:00-12:00;3
1057;;2020-12-23;12:00-14:00;3
1057;;2020-12-23;14:00-16:00;3
1057;;2020-12-23;16:00-18:00;3
1057;;2020-12-23;18:00-20:00;3
1057;;2020-12-24;10:00-12:00;3
1057;;2020-12-24;12:00-14:00;0
1057;;2020-12-24;14:00-16:00;0
1057;;2020-12-24;16:00-18:00;0
1057;;2020-12-24;18:00-20:00;0
1057;;2020-12-25;10:00-12:00;0
1057;;2020-12-25;12:00-14:00;0
1057;;2020-12-25;14:00-16:00;0
1057;;2020-12-25;16:00-18:00;0
1057;;2020-12-25;18:00-20:00;0
1057;;2020-12-26;10:00-12:00;0
1057;;2020-12-26;12:00-14:00;0
1057;;2020-12-26;14:00-16:00;0
1057;;2020-12-26;16:00-18:00;0
1057;;2020-12-26;18:00-20:00;0
1057;;2020-12-27;10:00-12:00;0
1057;;2020-12-27;12:00-14:00;0
1057;;2020-12-27;14:00-16:00;0
1057;;2020-12-27;16:00-18:00;0
1057;;2020-12-27;18:00-20:00;0
1057;;2020-12-31;10:00-12:00;0
1057;;2020-12-31;12:00-14:00;0
1057;;2020-12-31;14:00-16:00;0
1057;;2020-12-31;16:00-18:00;0
1057;;2020-12-31;18:00-20:00;0
1057;;2021-01-01;10:00-12:00;0
1057;;2021-01-01;12:00-14:00;0
1057;;2021-01-01;14:00-16:00;0
1057;;2021-01-01;16:00-18:00;0
1057;;2021-01-01;18:00-20:00;0
1042;;2020-12-21;10:00-12:00;3
1042;;2020-12-21;12:00-14:00;3
1042;;2020-12-21;14:00-16:00;3
1042;;2020-12-21;16:00-18:00;3
1042;;2020-12-21;18:00-20:00;3
1042;;2020-12-22;10:00-12:00;3
1042;;2020-12-22;12:00-14:00;3
1042;;2020-12-22;14:00-16:00;3
1042;;2020-12-22;16:00-18:00;3
1042;;2020-12-22;18:00-20:00;3
1042;;2020-12-23;10:00-12:00;3
1042;;2020-12-23;12:00-14:00;3
1042;;2020-12-23;14:00-16:00;3
1042;;2020-12-23;16:00-18:00;3
1042;;2020-12-23;18:00-20:00;3
1042;;2020-12-24;10:00-12:00;3
1042;;2020-12-24;12:00-14:00;0
1042;;2020-12-24;14:00-16:00;0
1042;;2020-12-24;16:00-18:00;0
1042;;2020-12-24;18:00-20:00;0
1042;;2020-12-25;10:00-12:00;0
1042;;2020-12-25;12:00-14:00;0
1042;;2020-12-25;14:00-16:00;0
1042;;2020-12-25;16:00-18:00;0
1042;;2020-12-25;18:00-20:00;0
1042;;2020-12-26;10:00-12:00;0
1042;;2020-12-26;12:00-14:00;0
1042;;2020-12-26;14:00-16:00;0
1042;;2020-12-26;16:00-18:00;0
1042;;2020-12-26;18:00-20:00;0
1042;;2020-12-27;10:00-12:00;0
1042;;2020-12-27;12:00-14:00;0
1042;;2020-12-27;14:00-16:00;0
1042;;2020-12-27;16:00-18:00;0
1042;;2020-12-27;18:00-20:00;0
1042;;2020-12-31;10:00-12:00;0
1042;;2020-12-31;12:00-14:00;0
1042;;2020-12-31;14:00-16:00;0
1042;;2020-12-31;16:00-18:00;0
1042;;2020-12-31;18:00-20:00;0
1042;;2021-01-01;10:00-12:00;0
1042;;2021-01-01;12:00-14:00;0
1042;;2021-01-01;14:00-16:00;0
1042;;2021-01-01;16:00-18:00;0
1042;;2021-01-01;18:00-20:00;0
