global.spryker.shop,Store App
container.does.not.exist_1,"Container:"
container.does.not.exist_2,"does not exist."
please.enter.weight,Please enter a weight
containers.missing,Containers are missing
collect.by.customer.header,Pickup
wrong.ean,Wrong EAN
container.scan.order.error.pop-up_1,"Container:"
container.scan.order.error.pop-up_2,"is already activated for"
container.scan.order.error.pop-up_3,","
container.scan.order.error.pop-up_4,"order:"
container.scan.order.error.pop-up_5,""
select.containers.add.box,Add box
popup.success.ui_1,"was"
popup.success.ui_2,"assigned"
barcode.length.error.alert,The barcode should be 13 or 8 characters long
input.value.error.greater.alert_1,"The input value should not be greater than "
input.value.error.greater.alert_2,""
input.value.error.less.alert_1,"The input value should not be less than "
input.value.error.less.alert_2,""
picking.scanning-container.continue, "Continue"
picking.scanning-container.cancel, "Cancel"
picking.scanning-container.isDepositAllowedChecked.popup.title, "Deposit box"
picking.scanning-container.isDepositAllowedChecked.popup.text, "The customer wants transport boxes. Are you sure that a transport box has been scanned?"
first.customer,FIRST CUSTOMER
multi.picking.weight.popupui.title, Add to
multi.picking.weight.popupui.message, Would you like to add another weight item?
multi.picking.weight.popupui.confirm.button, "Yes, add"
multi.picking.weight.popupui.cancel.button, No
container.already.used,This container is already in use

